Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
20160729.Phase constant _ Physics _ Khan Academy.0ORHDj3VEEY.en.txt,1,1867,54.00,64.23,51.40,49.71,1867.00,9.86,86.77,59.03,16.87,6.32,1.93,2.20,1.98,0.00,0.21,10.55,8.25,13.82,10.44,6.53,6.96,0.80,19.60,3.54,3.27,1.71,3.80,3.54,1.71,1.50,0.21,0.00,0.05,0.05,5.95,0.00,0.00,0.00,0.00,11.68,1.50,1.71,2.95,3.21,1.23,3.70,1.71,1.07,0.59,0.05,0.00,0.00,0.00,0.00,0.00,7.71,2.25,0.70,2.73,2.20,0.11,2.41,14.62,1.93,17.03,1.82,8.84,6.48,0.59,0.00,0.00,0.11,0.00,0.00,0.64,0.05,0.11,0.11,0.37,0.00,3.43,0.00,0.00,0.11,0.00,0.00,0.00,0.05,0.00,3.27,0.00,0.00
20160729.Electric potential charge configuration _ Physics _ Khan Academy.MxjdCPeoYvg.en.txt,1,1069,58.19,68.32,32.29,87.03,1069.00,19.64,80.73,51.45,12.63,5.24,0.28,3.09,1.40,0.00,0.47,7.39,7.48,12.63,9.26,6.45,7.20,2.62,17.87,1.68,0.56,1.40,6.64,3.18,4.30,3.93,0.37,0.19,0.00,0.09,5.80,0.09,0.00,0.00,0.00,15.15,2.53,2.90,1.12,4.86,2.90,2.62,0.37,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.47,3.27,5.33,0.84,3.74,0.28,2.62,12.91,5.43,13.94,1.78,9.82,2.25,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.00,0.28,0.19,0.19,0.00,4.21,0.00,0.00,0.19,0.00,0.00,0.00,0.28,0.00,3.74,0.00,0.00
20160729.AP Physics 1 review of Forces and Newton's Laws _ Physics _ Khan Academy.aaifHEhprJM.en.txt,1,3311,88.54,64.61,71.31,44.58,3311.00,19.09,83.42,53.13,10.09,3.56,0.09,1.63,1.81,0.03,0.00,6.52,11.99,14.13,9.21,2.90,6.43,1.60,16.73,3.26,1.93,2.08,4.83,2.02,1.93,1.48,0.45,0.03,0.03,0.00,4.56,0.00,0.00,0.00,0.03,11.84,2.69,2.93,2.90,1.90,1.36,2.57,0.91,0.60,0.21,0.06,0.12,0.12,0.00,0.00,0.00,5.56,1.66,0.39,1.84,1.36,0.39,2.48,11.72,1.30,21.96,3.93,11.08,7.91,0.33,0.66,0.00,0.00,0.00,0.00,0.30,0.00,0.15,0.00,0.15,0.00,2.05,0.00,0.00,0.06,0.12,0.00,0.00,0.09,0.00,1.63,0.00,0.15
20160729.Solving elastic collision problems the hard way _ Physics _ Khan Academy.9yXrEZy5WME.en.txt,1,2945,42.12,48.51,52.39,50.49,981.67,14.67,84.24,55.31,15.55,7.40,3.80,2.00,1.15,0.00,0.44,8.15,7.33,11.61,11.07,6.32,8.29,1.46,18.71,3.63,1.63,1.56,6.01,3.36,2.14,1.73,0.41,0.03,0.00,0.14,4.92,0.00,0.03,0.00,0.00,10.32,1.77,1.94,2.41,2.65,1.87,3.19,0.98,0.48,0.34,0.14,0.34,0.17,0.00,0.00,0.17,6.96,2.24,1.02,1.32,2.48,0.14,2.38,13.75,2.68,15.01,2.65,6.49,6.18,0.20,4.04,0.00,0.00,0.00,0.00,0.51,0.00,0.34,0.00,0.17,0.00,4.55,0.07,0.00,0.07,0.00,0.00,0.00,0.14,0.00,4.28,0.00,0.00
20160729.Electric potential energy of charges _ Physics _ Khan Academy.wEQxtUwiV1E.en.txt,1,3078,44.55,66.95,37.59,95.11,3078.00,14.98,84.60,55.65,15.11,6.63,1.14,2.66,1.92,0.00,0.91,8.45,6.30,13.22,11.08,6.47,7.67,2.08,19.20,3.80,2.63,1.14,4.35,2.60,5.91,5.26,0.65,0.16,0.10,0.06,7.28,0.00,0.00,0.00,0.00,12.87,1.62,2.47,1.85,4.13,1.10,4.19,1.10,0.52,0.39,0.13,0.19,0.10,0.00,0.06,0.03,8.12,2.66,2.47,0.88,1.98,0.39,2.11,13.71,5.04,14.00,3.18,6.08,4.87,0.45,0.13,0.00,0.45,0.00,0.00,0.97,0.06,0.52,0.23,0.29,0.00,4.97,0.00,0.00,0.06,0.00,0.00,0.00,0.16,0.00,4.48,0.00,0.26
20160729.Relating angular and regular motion variables _ Physics _ Khan Academy.dVYYh8C80zo.en.txt,1,2799,53.61,65.83,44.85,46.15,2799.00,19.04,83.10,57.63,15.79,5.32,1.21,2.36,1.75,0.00,0.00,10.40,10.08,12.43,11.11,6.54,7.72,1.04,17.51,2.68,1.46,2.29,0.61,2.25,1.75,1.43,0.32,0.11,0.04,0.00,5.64,0.00,0.00,0.00,0.00,12.72,2.11,3.39,2.29,2.61,1.25,3.43,1.71,1.18,0.29,0.18,0.11,0.11,0.00,0.00,0.00,5.82,2.57,0.32,1.50,1.36,0.11,2.86,12.65,1.39,15.76,4.22,7.50,4.50,0.32,1.36,0.00,0.04,0.00,0.00,1.11,0.00,0.79,0.04,0.29,0.00,4.25,0.00,0.00,0.07,0.00,0.00,0.00,0.11,0.00,4.07,0.00,0.00
"20160729.Electric field direction _ Electric charge, field, and potential _ Physics _ Khan Academy.Z_ddImEdmCQ.en.txt",1,2781,63.23,57.84,34.61,94.47,2781.00,18.23,81.91,56.92,15.03,5.03,0.86,2.34,1.29,0.00,0.54,9.92,10.14,12.80,8.92,5.39,7.34,2.48,16.94,4.28,2.09,1.33,0.54,0.93,5.00,4.75,0.25,0.11,0.00,0.00,5.07,0.00,0.00,0.00,0.00,17.12,2.55,5.25,3.16,2.73,2.70,3.38,1.19,0.11,0.50,0.40,0.04,0.04,0.00,0.00,0.00,10.72,2.34,1.58,3.42,3.27,0.11,1.51,11.11,1.83,14.99,1.73,11.58,1.69,1.01,0.00,0.00,0.00,0.00,0.00,0.54,0.00,0.00,0.18,0.36,0.00,2.55,0.00,0.00,0.07,0.00,0.00,0.00,0.04,0.00,2.45,0.00,0.00
20160729.Masses on incline system problem _ Forces and Newton's laws of motion _ Physics _ Khan Academy._0nDUXO0k7o.en.txt,1,1853,55.85,54.72,48.15,32.25,1853.00,16.24,84.08,55.37,15.00,5.45,2.16,2.05,1.03,0.00,0.22,9.55,7.88,13.44,9.98,6.10,7.77,1.35,17.75,3.99,2.37,1.57,5.18,2.86,2.64,1.51,1.13,0.65,0.16,0.22,4.26,0.00,0.00,0.00,0.00,11.44,1.78,4.86,1.62,2.32,0.97,2.64,1.46,0.92,0.27,0.16,0.00,0.00,0.00,0.00,0.00,8.36,2.05,0.97,4.05,1.13,0.27,1.19,14.57,2.37,15.76,2.97,10.52,2.48,0.32,0.16,0.05,0.00,0.00,0.00,0.76,0.00,0.22,0.27,0.38,0.00,4.53,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,4.43,0.00,0.00
20160729.AP Physics 1 review of Momentum and Impulse _ Physics _ Khan Academy.qMc6KOkmjTU.en.txt,1,2874,89.06,49.03,69.61,53.92,2874.00,16.88,81.77,55.29,8.14,2.09,0.00,1.22,0.77,0.00,0.10,6.02,12.42,15.59,10.33,4.31,6.96,1.98,14.47,3.13,2.30,2.09,2.92,2.71,1.91,1.70,0.21,0.03,0.00,0.00,2.99,0.00,0.00,0.00,0.00,11.06,1.46,2.57,2.71,2.12,1.60,3.24,0.84,0.52,0.28,0.00,0.10,0.10,0.00,0.00,0.00,4.14,1.39,0.21,1.57,0.80,0.21,1.32,11.06,1.64,22.09,2.33,12.28,7.52,0.07,0.14,0.00,0.03,0.00,0.00,0.14,0.00,0.03,0.00,0.10,0.00,2.26,0.00,0.00,0.07,0.00,0.00,0.00,0.03,0.00,2.05,0.00,0.10
20170301.De Broglie wavelength  _ Physics _ Khan Academy.iTRxuBxttj8.en.txt,1,2046,49.11,67.00,31.65,55.24,2046.00,19.60,83.77,56.40,15.98,6.40,0.93,0.93,1.91,1.17,1.47,9.58,7.77,12.12,9.24,6.70,7.77,1.47,14.81,3.32,3.32,1.96,1.32,2.15,2.54,2.05,0.49,0.10,0.10,0.10,8.21,0.05,0.00,0.00,1.32,12.85,2.79,2.54,1.86,3.18,1.56,4.25,4.30,3.57,0.49,0.24,0.05,0.05,0.00,0.00,0.00,4.25,1.27,0.88,0.88,1.27,0.15,5.62,8.16,0.83,13.20,2.35,6.21,4.69,1.37,0.15,0.00,0.10,0.00,0.00,0.29,0.00,0.00,0.05,0.20,0.00,3.18,0.00,0.00,0.10,0.00,0.00,0.00,0.78,0.00,2.30,0.00,0.00
20160729.Acceleration vs. time graphs _ One-dimensional motion _ Physics _ Khan Academy.DD58B2siDv0.en.txt,1,2628,49.95,71.97,64.16,66.80,2628.00,11.99,87.44,55.25,16.29,7.31,1.94,3.20,1.60,0.38,0.19,8.98,7.46,12.25,10.43,5.67,6.85,1.45,17.85,3.01,2.02,1.48,7.08,2.66,2.78,2.47,0.30,0.04,0.11,0.04,7.04,0.00,0.00,0.42,0.00,12.52,2.40,2.93,1.86,2.05,2.36,2.63,2.13,1.10,0.80,0.19,0.19,0.11,0.08,0.00,0.00,7.27,3.27,0.34,1.14,2.40,0.15,3.20,13.43,2.02,18.46,2.82,10.20,5.59,0.34,0.19,0.04,0.04,0.00,0.00,0.72,0.00,0.00,0.27,0.46,0.00,3.92,0.00,0.00,0.08,0.00,0.00,0.00,0.08,0.00,3.73,0.00,0.04
